         31394 function calls (31360 primitive calls) in 99.534 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 imp.py:108(<listcomp>)
        1    0.000    0.000    0.000    0.000 _methods.py:25(_amax)
        1    0.000    0.000    0.000    0.000 gdal.py:2205(<lambda>)
        1    0.000    0.000    0.000    0.000 collection.py:412(closed)
        1    0.000    0.000    0.000    0.000 collection.py:423(__del__)
        1    0.000    0.000    0.000    0.000 gdal_array.py:213(NumericTypeCodeToGDALTypeCode)
        3    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
        1    0.000    0.000    0.000    0.000 imp.py:109(<listcomp>)
        1    0.000    0.000    0.000    0.000 gdal.py:1815(<lambda>)
        1    0.000    0.000    0.000    0.000 collection.py:486(vsi_path)
        1    0.000    0.000    0.000    0.000 gdal_array.py:218(GDALTypeCodeToNumericTypeCode)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 collection.py:417(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'get_fileencoding' of 'fiona.ogrext.Session' objects}
